"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 63, 0, 0, 0, 7, 70
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\index.html", "HTML", 0, 0, 1, 0, 0, 1
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package-lock.json", "JSON", 0, 83, 0, 0, 0, 83
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\project.html", "HTML", 0, 0, -53, 0, -6, -59
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\project.ejs", "HTML", 0, 0, 74, 0, 10, 84
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\registration.ejs", "HTML", 0, 0, 95, 0, 7, 102
"Total", "-", 63, 84, 117, 0, 18, 282
