"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airlines.js", "JavaScript", 110, 0, 0, 1, 18, 129
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airplane.html", "HTML", 0, 271, 0, 0, 44, 315
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Countries.js", "JavaScript", 83, 0, 0, 4, 12, 99
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Customers.js", "JavaScript", 115, 0, 0, 3, 16, 134
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Flights.js", "JavaScript", 115, 0, 0, 3, 16, 134
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Tickets.js", "JavaScript", 130, 0, 0, 3, 18, 151
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 256, 0, 0, 0, 31, 287
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\connection.js", "JavaScript", 13, 0, 0, 0, 1, 14
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\flightslist.html", "HTML", 0, 95, 0, 1, 9, 105
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\index.html", "HTML", 0, 52, 0, 0, 6, 58
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package-lock.json", "JSON", 0, 0, 1709, 0, 1, 1710
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package.json", "JSON", 0, 0, 22, 0, 1, 23
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\project.ejs", "HTML", 0, 74, 0, 0, 10, 84
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\registration.ejs", "HTML", 0, 95, 0, 0, 7, 102
"Total", "-", 822, 587, 1731, 15, 190, 3345
