"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Flights.js", "JavaScript", 5, 0, 0, 0, 5
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 104, 0, 0, 12, 116
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\flightslist.html", "HTML", 0, 95, 1, 9, 105
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\project.html", "HTML", 0, 1, 0, 0, 1
"Total", "-", 109, 96, 1, 21, 227
